hotel,market_segment,distribution_channel,customer_type,lead_time_band,deposit_type,bookings,cancellations,realized_revenue,lost_revenue_estimate,room_nights_realized,adr,average_lead_time,repeat_guest_rate,average_special_requests,cancellation_rate,revenue_per_booking,segment_risk_score
Resort Hotel,Corporate,Corporate,Transient,1-4 weeks,No Deposit,302,61,22590.37,14659.66,456,57.6155298013245,15.14569536423841,0.3211920529801324,0.17880794701986755,0.20198675496688742,74.80254966887416,12.82
City Hotel,Corporate,TA/TO,Transient-Party,1-3 months,No Deposit,56,10,12247.09,2890.0,111,118.28625,57.55357142857143,0.0,0.08928571428571429,0.17857142857142858,218.6980357142857,12.82
City Hotel,Corporate,TA/TO,Transient-Party,Same week,No Deposit,19,4,2435.0,390.0,27,83.15789473684211,2.4210526315789473,0.0,0.05263157894736842,0.21052631578947367,128.1578947368421,12.72
City Hotel,Direct,Direct,Group,1-3 months,No Deposit,6,1,1403.0900000000001,415.0,13,114.15500000000002,67.16666666666667,0.0,0.16666666666666666,0.16666666666666666,233.84833333333336,12.43
Resort Hotel,Corporate,Corporate,Transient-Party,6-12 months,No Deposit,15,0,5130.0,0.0,60,85.5,343.0,0.13333333333333333,0.0,0.0,342.0,12.37
Resort Hotel,Corporate,TA/TO,Transient-Party,Same week,No Deposit,5,1,795.0,70.0,7,90.0,5.6,0.0,0.4,0.2,159.0,12.2
City Hotel,Corporate,TA/TO,Transient,Same week,No Deposit,5,1,486.0,300.0,6,79.8,3.4,0.0,0.0,0.2,97.2,12.13
Resort Hotel,Groups,Direct,Transient,Same week,No Deposit,20,4,1397.0,140.0,29,41.87,2.4,0.0,0.15,0.2,69.85,12.09
City Hotel,Offline TA/TO,TA/TO,Contract,1-4 weeks,No Deposit,37,7,8107.07,1274.1999999999998,96,82.1391891891892,19.135135135135137,0.0,0.4594594594594595,0.1891891891891892,219.10999999999999,12.06
Resort Hotel,Groups,Direct,Transient-Party,3-6 months,Refundable,81,8,17464.5,1552.0,261,65.0679012345679,169.0,0.012345679012345678,0.0,0.09876543209876543,215.61111111111111,12.04
Resort Hotel,Offline TA/TO,TA/TO,Group,1-4 weeks,No Deposit,27,5,13012.03,3713.0,117,96.70851851851852,21.925925925925927,0.2222222222222222,0.7037037037037037,0.18518518518518517,481.92703703703705,11.94
City Hotel,Corporate,Corporate,Transient-Party,1-3 months,No Deposit,142,23,19073.13,3223.0,230,82.70922535211267,56.23943661971831,0.1056338028169014,0.07746478873239436,0.1619718309859155,134.31781690140846,11.78
City Hotel,Online TA,TA/TO,Transient-Party,3-6 months,No Deposit,739,80,250856.19,24809.23,2194,112.89194857916102,133.28146143437078,0.0,0.8619756427604871,0.10825439783491204,339.45357239512856,11.57
Resort Hotel,Groups,Corporate,Transient-Party,1-3 months,No Deposit,56,9,17745.0,1887.0,174,103.74285714285715,51.214285714285715,0.03571428571428571,0.08928571428571429,0.16071428571428573,316.875,11.51
Resort Hotel,Direct,Direct,Transient-Party,6-12 months,No Deposit,61,3,48564.97,1076.92,379,112.0995081967213,230.72131147540983,0.03278688524590164,1.2950819672131149,0.04918032786885246,796.1470491803279,11.28
Resort Hotel,Groups,Direct,Transient-Party,6-12 months,Refundable,13,0,5973.96,0.0,89,67.40615384615384,312.38461538461536,0.0,0.0,0.0,459.5353846153846,11.27
City Hotel,Corporate,Corporate,Transient-Party,1-4 weeks,No Deposit,301,53,48615.68,7759.34,565,85.60451827242525,17.08637873754153,0.029900332225913623,0.10963455149501661,0.1760797342192691,161.51388704318936,11.26
City Hotel,Offline TA/TO,GDS,Transient,Same week,No Deposit,27,5,3104.0,1150.0,27,116.51851851851852,3.3703703703703702,0.037037037037037035,0.2222222222222222,0.18518518518518517,114.96296296296296,11.25
City Hotel,Corporate,Corporate,Transient,1-3 months,No Deposit,139,22,18160.55,5361.02,211,81.25827338129496,46.87769784172662,0.2805755395683453,0.39568345323741005,0.15827338129496402,130.65143884892086,11.24
Resort Hotel,Groups,Direct,Group,6-12 months,No Deposit,2,0,0.0,0.0,17,0.0,311.0,0.0,0.0,0.0,0.0,11.22
City Hotel,Complementary,Direct,Transient,6-12 months,No Deposit,1,0,18.0,0.0,2,9.0,311.0,0.0,2.0,0.0,18.0,11.22
Resort Hotel,Direct,Direct,Transient-Party,1-4 weeks,No Deposit,123,21,41378.8,4917.5,354,113.6481300813008,19.21951219512195,0.07317073170731707,0.7804878048780488,0.17073170731707318,336.4130081300813,10.99
Resort Hotel,Complementary,Direct,Transient,1-4 weeks,No Deposit,46,8,190.5,0.0,81,1.7934782608695652,15.521739130434783,0.0,0.8043478260869565,0.17391304347826086,4.141304347826087,10.99
City Hotel,Offline TA/TO,TA/TO,Group,Same week,No Deposit,22,4,3757.81,1050.0,50,92.15772727272727,1.6818181818181819,0.4090909090909091,0.45454545454545453,0.18181818181818182,170.80954545454546,10.98
City Hotel,Complementary,Direct,Transient-Party,Same week,No Deposit,11,2,0.0,0.0,9,0.0,1.6363636363636365,0.45454545454545453,1.0909090909090908,0.18181818181818182,0.0,10.97
City Hotel,Online TA,Corporate,Transient,Same week,No Deposit,22,4,3007.0,404.0,30,104.31818181818181,1.3636363636363635,0.045454545454545456,0.22727272727272727,0.18181818181818182,136.6818181818182,10.96
City Hotel,Complementary,TA/TO,Transient-Party,6-12 months,No Deposit,1,0,100.0,0.0,5,20.0,304.0,0.0,0.0,0.0,100.0,10.96
Resort Hotel,Groups,Corporate,Transient-Party,1-4 weeks,No Deposit,140,24,16672.5,6648.0,282,62.04642857142857,14.378571428571428,0.0,0.1,0.17142857142857143,119.08928571428571,10.88
