country,market_segment,customer_type,bookings,cancellation_rate,realized_revenue,adr,average_lead_time,repeat_guest_rate,average_special_requests,average_total_nights,persona_cluster,persona_label,customer_value_score
USA,Offline TA/TO,Transient,71,0.056338028169014086,18076.18,87.86718309859154,73.04225352112677,0.0,0.36619718309859156,3.183098591549296,3,Premium reliable guests,39.13
MAR,Online TA,Transient,175,0.5485714285714286,38553.61,148.2856,59.325714285714284,0.0,0.8971428571428571,4.0285714285714285,0,Value-managed core guests,39.07
HUN,Online TA,Transient,167,0.4431137724550898,38893.13,115.39718562874252,99.78443113772455,0.0,0.9101796407185628,3.6467065868263475,0,Value-managed core guests,38.96
AUT,Offline TA/TO,Transient-Party,48,0.0,11480.72,90.531875,181.83333333333334,0.0,0.5,2.7083333333333335,3,Premium reliable guests,38.9
POL,Groups,Transient-Party,62,0.0,12973.0,76.80645161290323,163.96774193548387,0.0,0.0,2.7903225806451615,3,Premium reliable guests,38.74
ARG,Online TA,Transient,142,0.36619718309859156,30655.86,118.29422535211266,78.56338028169014,0.0,0.7816901408450704,3.23943661971831,0,Value-managed core guests,38.26
PRT,Aviation,Transient,95,0.4105263157894737,17466.66,101.51926315789474,4.231578947368421,0.30526315789473685,0.18947368421052632,3.231578947368421,1,High-volume commercial demand,37.78
NOR,Online TA,Transient-Party,49,0.10204081632653061,17676.89,105.89142857142858,190.9591836734694,0.0,1.2040816326530612,3.9591836734693877,0,Value-managed core guests,37.61
PRT,Direct,Group,75,0.22666666666666666,13396.96,89.28493333333333,70.84,0.3466666666666667,0.52,2.68,1,High-volume commercial demand,36.15
FRA,Offline TA/TO,Group,45,0.0,11218.51,69.64822222222223,50.355555555555554,0.0,0.3111111111111111,3.6,3,Premium reliable guests,36.1
CZE,Online TA,Transient,95,0.37894736842105264,22113.0,125.46284210526315,89.23157894736842,0.0,0.8842105263157894,3.2421052631578946,0,Value-managed core guests,35.53
FRA,Corporate,Transient-Party,83,0.0963855421686747,17738.6,82.58072289156627,47.46987951807229,0.0,0.03614457831325301,3.5060240963855422,3,Premium reliable guests,35.28
CHN,Online TA,Transient-Party,84,0.10714285714285714,16847.32,104.36714285714285,41.726190476190474,0.0,1.1071428571428572,2.4404761904761907,0,Value-managed core guests,35.08
BRA,Groups,Transient-Party,42,0.0,7232.4400000000005,70.64095238095238,106.38095238095238,0.0,0.23809523809523808,2.357142857142857,3,Premium reliable guests,34.24
EST,Online TA,Transient,56,0.32142857142857145,17011.760000000002,124.70482142857144,77.625,0.0,0.7857142857142857,4.178571428571429,0,Value-managed core guests,33.26
USA,Online TA,Transient-Party,58,0.13793103448275862,13470.54,125.85827586206896,102.20689655172414,0.0,0.9137931034482759,2.103448275862069,0,Value-managed core guests,33.26
AUS,Direct,Transient,43,0.09302325581395349,11023.630000000001,126.92813953488371,59.7906976744186,0.0,0.37209302325581395,2.2790697674418605,0,Value-managed core guests,33.12
CHN,Groups,Transient-Party,40,0.0,5427.0,58.675,58.625,0.0,0.2,2.0,3,Premium reliable guests,32.36
PRT,Online TA,Group,65,0.16923076923076924,5569.86,83.07384615384616,48.83076923076923,0.6153846153846154,0.7538461538461538,1.4615384615384615,1,High-volume commercial demand,31.85
BGR,Online TA,Transient,52,0.23076923076923078,16003.19,117.84403846153847,75.82692307692308,0.0,0.9038461538461539,3.673076923076923,0,Value-managed core guests,31.69
UNKNOWN,Corporate,Transient,173,0.07514450867052024,10046.1,44.51156069364162,5.317919075144508,0.005780346820809248,0.23121387283236994,1.4855491329479769,3,Premium reliable guests,30.62
TUR,Online TA,Transient,172,0.5813953488372093,22604.31,120.11982558139535,50.0406976744186,0.0,0.5581395348837209,3.36046511627907,0,Value-managed core guests,30.56
NZL,Online TA,Transient,45,0.13333333333333333,12028.36,118.10466666666667,74.86666666666666,0.0,0.9333333333333333,2.7333333333333334,0,Value-managed core guests,30.2
IRN,Online TA,Transient,49,0.2857142857142857,15000.44,120.27224489795918,38.673469387755105,0.0,0.7755102040816326,4.040816326530612,0,Value-managed core guests,29.92
MEX,Online TA,Transient,51,0.19607843137254902,12759.61,118.77450980392157,60.96078431372549,0.0,0.9019607843137255,2.7254901960784315,0,Value-managed core guests,29.44
